title,ride,weightedrank
1, Expedition Everest - Legend of the Forbidden Mountain,55
2, Haunted Mansion,54
3, The Twilight Zone Tower of Terror,53
4, Soaring Around The World,52
5, Space Mountain,51
6, Toy Story Mania!,50
7, Splash Mountain,49
8, Big Thunder Mountain Railroad,48
9, Avatar Flight of Passage,47
10, Seven Dwarfs Mine Train,46
11, Kilimanjaro Safaris,45
12, Pirates of the Caribbean,44
13, Rock 'n Roller Coaster Starring Aerosmith,43
14, Slinky Dog Dash,42
15, Star Tours: The Adventure Continues,41
16, It's A Small World,40
17," Monsters, Inc Laugh Floor",39
18, Peter Pan's Flight,38
19, Jungle Cruise,37
20, Mad Tea Party,36
21, Kali River Rapids,35
22, Spaceship Earth,34
23, Test Track,33
24, DINOSAUR,32
25, Na'vi River Journey,31
26, Mickey's PhilharMagic,30
27, Frozen Ever After,29
28, The Many Adventures of Winnie the Pooh,28
29, Dumbo the Flying Elephant,27
30, Tomorrowland Transit Authority PeopleMover,26
31, Alien Swirling Saucers,25
32, Buzz Lightyear's Space Ranger Spin,24
33, Mission: SPACE,23
34, Under The Sea ~ Journey of the Little Mermaid,22
35, It's Tough to be a Bug!,21
36, The Barnstormer,20
37, Turtle Talk With Crush,19
38, Tomorrowland Speedway,18
39, Muppet*Vision 3D,17
40, Walt Disney's Enchanted Tiki Room,16
41, Primeval Whirl,15
42, Living With The Land,14
43, Astro Orbiter,13
44, The Magic Carpets of Aladdin,12
45, TriceraTop Spin,11
46, The Hall of Presidents,10
47, Gran Fiesta Tour Starring The Three Caballeros,9
48, Walt Disney World Railroad,8
49, The Seas with Nemo & Friends,7
50, Country Bear Jamboree,6
51, Prince Charming Regal Carrousel,5
52, Walt Disney's Carousel of Progress,4
53, Journey Into Imagination With Figment,3
54, Swiss Family Treehouse,2
55, Stitch's Great Escape,1
