title,ride,weightedrank
1,X2,29
2,Tatsu,28
3,Goliath,27
4,Twisted Colossus,26
5,Full Throttle,25
6,The Riddler's Revenge,24
7,Scream,23
8,Superman: Escape From Krypton,22
9,Batman: The Ride,21
10,Green Lantern: First Flight,20
11,Viper,19
12,Lex Luthor: Drop of Doom,18
13,Apocalypse,17
14,Colossus,16
15,Revolution,15
16,Ninja,14
17,Dejavu,13
18,The New Revolution,12
19,CraZanity,11
20,Gold Rusher,10
21,Jet Stream,9
22,Justice League: Battle For Metropolis,8
23,Road Runner Express,7
24,Dive Devil,6
25,Magic Flyer,5
26,Drop of Doom,4
27,Speedy Gonzales Hot Rod Racers,3
28,Wile E. Coyote Canyon Blaster,2
29,Canyon Blaster,1
